id,question,answer,final_decision,final_indicators
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.",המשולשים לא - בכתום הזוויות השלישית היא כן 30 על ידי השלמת סכום זוויות המשלוש ל 180 נכון אבל המשולש הכחול לא אוכל לדעת סכום זוויות הבסיס כי לפי   ABC ו-A'B'C'  הם לא חופפים - הסדר של האותיות,3,"3.06, 3.16"
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.","הטענה נכונה, כי קוביה היא סוג של פאון שבו כל הפאות הן ריבועים שווים. כל קוביה היא פאון, אך לא כל פאון הוא קוביה",3,"3.02, 3.03, 3.06, 3.18"
,ביישומון שלפניך מוצגים שלושה קטעים היוצאים מקודקודי משולש כלשהו (המשולש מוסתר). האם ניתן לקבוע סוג המשולש (חד זווית / ישר זווית / קהה זווית) על סמך 2 או 3 קטעים? נמקו.,לא כי צריך ערך של זווית כדי לקבוע את סוג המשולש,2,"2.01, 2.07"
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,"2 קטעים לא אי אפשר כי חסרה צלע שלישית, ובלעדיה אי אפשר לדעת אם בכלל נוצר משולש ואיזה סוג הוא.
3 קטעים כן כי אפשר להשוות בין שלושת האורכים ולקבוע אם המשולש שווה-צלעות, שווה-שוקיים או שונה-צלעות",2,"2.01, 2.08"
,"במערכת גיאומטרית חדשה אנו מגדירים את היחסים בין נקודות כך:
1. דרך שתי נקודות עובר אינסוף קווים.
2. קו מוגדר כמעגל שנסגר על עצמו.
האם מערכת זו עקבית (כלומר, ללא סתירה פנימית בהגדרות)? נמק את תשובתך.","כן, היחס הראשון לא מתנגד עם היחס השני.
ניתן לצייר אינסוף מעגלים דרך שתי נקודות.",5,5.12
,הוכיחו כי במשולש קהה זווית לא יתכן שהגובה לצלע שיוצרת זווית קהה יהיה בתוך המשולש.,"הראתי סרטוט למעלה...
מעבר לכך אולי על ידי השלמה למקבילית ומלבן..",2,2.01
,אילו תכונות יש למשולש שווה שוקיים.,"הזויות בין הצלעות השוות לבסיס שוות  , הגובה,התיכון וחוצה מזווית הראש מתלכדים ",2,"2.01, 2.06, 2.08"
,הוכח כי סכום זוויות במחומש הוא 540°,נעביר הצורה לשני צורות משולש ומלבן ואז סכום זוויות המשולש 180 וזוויות המלבן 360 ואז ביחד זה יוצא 540,4,"4.05, 4.06"
,מהן תכונותיו של המלבן?,4 זוויות ישרות,3,3.04
,הוכח כי סכום זוויות במחומש הוא 540°,"נחלק את המחומש (5 צלעות) ל־3 משולשים על ידי שרטוט אלכסונים מקודקוד אחד:
3*180 = 540",4,"4.05, 4.06, 4.08"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
",מקבילית כי תמיד האלכסונים חוצים זה את זה,3,"3.03, 3.04"
,כתבו 2 תכונות שמשותפת לכל הריבועים אך לא משותפת לכל המעויינים. נמקו את בחירתכם.,לא יודע תכונות,1,1.04
,"""גוף יכול להיות גם מנסרה וגם תיבה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.","כן, כי לתיבה יש את התכונות של מנסרה",3,3.02
,מהן תכונותיו של המלבן? מנו תכונות רבות ככל האפשר.,"כל שתי צלעות נגדיות שוות ומקבילות אחת לשניה 
כל שתי צלעות שנפגשות יוצרות זווית ישרה
המיתרים חותכים אחד את השני לשני חלקים שווים
",2,"2.01, 2.02, 2.06, 2.08"
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.","כן נכונה, כי כל קוביה היא פאון",3,"3.02, 3.18"
,מהן תכונותיו של המלבן?,"כל הזוויות שוות ל־90°
הצלעות הנגדיות שוות ומקבילות
האלכסונים שווים באורכם וחוצים זה את זה",2,"2.01, 2.02, 2.06, 2.08"
,הוכח כי סכום זוויות במחומש הוא 540°,לא יודעת,1,1.04
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","כן
AC = AC' = 12
∠ CAB = ∠ACB' = 30
AB = CB' = 14",3,3.10
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך? הוכח את טענתך.
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
","לפי דעתי זה יכול להיות  טרבז אבל לא בהכרח 
יכולה לקבוע  הצורה אם יש לי הנקודות עצמם ABCD ",2,2.02
,כתבו 2 תכונות שמשותפת לכל הריבועים אך לא משותפת לכל המעויינים. נמקו את בחירתכם.,"כל הזוויות ישרות וגם ב90 מעלות 
האלכסונים שווים באורך
הריבוע הוא מעויין מיוחד רק כל הזוויות ישרות והאלכסונים שווים באורך",3,"3.02, 3.03, 3.06, 3.07, 3.09, 3.18"
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,אולי אם רואים את זה ברור יותר,1,1.04
,הוכיחו כי במלבן האלכסונים שווים זה לזה,חופפים משולשים,3,3.10
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.","לא בגיאומטריה אחרת לא מתקיימות כל האקסיומות של גיאומטריה אוקלידית (כמו מקבילים), ולכן אין חובה שסכום זוויות במשולש יהיה 180°.",5,"5.02, 5.12"
,הוכיחו למה במשולש קהה זווית לא יתכן שהגובה לצלע שיוצרת זווית קהה יהיה בתוך המשולש.,כי אם הוא היה בתוך המשולש היה נוצר משולש עם זווית קהה וישרה וזה לא הגיוני,3,"3.02, 3.03, 3.06, 3.10"
,כתבו לפחות 3 תכונות שקיימות במעויין.,"1. כל צלעות שלו שוות 
2. האלכסונים שלו מאונכים זה את זה 
3. כל זווית שווה לזווית שמולה ",2,"2.01, 2.08"
,הוכיחו שאלכסוני הדלתון ניצבים זה לזה.,חופפים משולש ABC עם משולש ADC לפי צ.צ.צ (יש צלע משותפת) ואז מקבלים זווית A השמאלית שווה לזוית A הימנית ולכן ויש משולש שווה שוקים עם חוצה זווי הראש אז הוא גם גובה,4,"4.05, 4.06"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,אני יכולה להוכיח זאת על פי חפיפת משולשים להגיע לכך שהצלעות שוות ובמידה והצלעות הנגדיות שוות זו לזו אז זוי מקבילית...,3,3.10
,האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע?,לא ניסיתי,1,1.04
,הוכיחו שזוויות הבסיס של טרפז שווה שוקיים שוות זו לזו.,"נוריד גובה H1 מקודקוד D ל BC 
נוריד גובה H2 מקודקוד A ל BC 
מתקיים DA ∥ AB כי הם בסיס בטרפז 
ולכן הזווית DKA שווה לזווית MKA שוות ל 90 
והזווית KMD שווה ל 90 כי H2 הוא גובה ולכן הזווית הרביעית במרובע DMKA שווה ל 90 
ולכן המרובע שנוצר הוא מלבן כלומר AK שווה DM 
בנוסף נתון שטרפז שווה שוקיים ולכן AB = DC 
ולכן SIN של הזווית ABK שווה AK חלקי AB 
ו SIN של זווית DCB שווה ל DM חלקי DC 
ולכן שתי הזווית שוות -> זוויות הבסיס שוות 
",4,4.06
,"ביישומון שלפניך מוצגים שלושה קטעים היוצאים מקודקודי משולש כלשהו (המשולש מוסתר). האם ניתן לדעת בוודאות את סוג הקטעים המיוחדים (תיכון, חוצה זווית או גובה)?","כן לפי הישומון אפשר לדעת מה כל צלע 
למשל צלע שיוצא מנקודה A זה גובה כי הוא קו ישר ואי אפשר להפוך הצורה שלו ",2,"2.01, 2.03"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
",מקבילית כי האלכסונים תמיד נפגשים באמצע,3,"3.03, 3.04, 3.19"
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","כן, לפי צץז.צ כי הזווית השלישית היא גם 30",3,"3.06, 3.10"
,"""המעוין הוא דלתון מיוחד"". האם טענה זו נכונה? נמקו את קביעתכם.",כן כי האלכסונים שלו מאונכים זה לזה,2,"2.01, 2.06, 2.07, 2.08, 2.14"
,"במערכת גיאומטרית חדשה אנו מגדירים את היחסים בין נקודות כך:
1. דרך שתי נקודות עוברים אינסוף קווים.
2. קו מוגדר כמעגל שנסגר על עצמו.
האם מערכת זו עקבית (כלומר, ללא סתירה פנימית בהגדרות)? נמק את תשובתך.
","הקווים הם המעגלים שעוברים אינסוף פעמים... 
אני מדמיינת כדור שהנקודה הגבוה והנמוכה בו עוברים דרכם אינסוף קווים המוגדרים כמעגלים...",5,"5.02, 5.12"
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","יש להם שתי צלעות השוות בגודלן: 'AC=C'A' AB=C'B
 והזווית שביניהן גם שווה..
על פי צ.ז.צ",3,3.10
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.",קוביה היא סוג של פאון,3,"3.02, 3.07, 3.18"
,"""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם הטענה נכונה? הסבירו.","כן הטענה נכונה, ניתן לראות שאחרי כל פעולת גרירה מקבלים שכל שתי צלעות מקבילות שוות זה לזה",3,3.04
,"הורדת שני גבהים מקדקדי הבסיס הקצר של הטרפז. נוצרים שני משולשים ישרי זווית ומלבן (כי יש לו שני זוגות של צלעות מקבילות + זווית ישרה). חופפים את שני המשולשים ישרי הזווית לפי משפטי חפיפה של משולשים ישרי זווית (שני משולשים ישרי זווית השווים בניצב וביתר, חופפים ביניהם). לכן זויות הבסיס שוות, כזוויות מתאימות במשולשים חופפים.","הורדת שני גבהים לטרפס נוצר שני מושלשים ישר זווית שבהם היתר והניצב (הגבהים) שווים בהתאם לכל משולש, אז המשולשים חופפים ויצא מכך שזוויות השוקיים ישרות",4,"4.05, 4.06, 4.08"
,"""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם הטענה נכונה? הסבירו.","כן, גררתי וראיתי שהן מקביליות",1,1.08
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?",המרובע מקבילית,1,1.04
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.
",לא הגיאומטריה לא מתאימה לגיאמטריה הרגילה,1,1.04
,"""גוף יכול להיות גם מנסרה וגם תיבה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.",כן כי תיבה היא גם מנסרה,3,"3.02, 3.03, 3.07, 3.18, 3.21"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך? הוכח את טענתך.
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
","האלכסונים חוצים זה את זה, זו תכונה של מקבילית .  ניתן ליצור מלבן אם האלכסונים שווים , מעוין אם הם מאונכים ",3,"3.02, 3.03, 3.04, 3.06, 3.07"
,"""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם הטענה נכונה? הסבירו.",כן וזה בגלל שאחד הוא מקבילית והשני מלבן,3,"3.07, 3.18"
,"נגדיר: ""ישר"" על פני כדור הוא מעגל שמרכזו במרכז הכדור. כמה ""ישרים"" עוברים דרך כל שתי נקודות על פני הכדור? הסבירו. ",יש אינסוף ישרים כי לבין מרכז המעגל ופני הכדור יש מלא נקודות,2,2.01
,"האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","לא, לאחרי הגרירה הצורות מראות מעויין ולא ריבוע, מכיוון שבריבוע חייבות להיות זוויות ישרות. כדי להפוך את הצורה לריבוע, יש לוודא שכל הזוויות יהיו שוות (90)",2,"2.01, 2.07, 2.08"
,אילו תכונות משותפות למלבן וריבוע?,"זוגות של צלעות מקביליות ושוות 
זוויות פנימיות שוות 90
האלכסונים חותכים אחד את השני ויוצרים חלקים שווים",2,"2.01, 2.02, 2.11"
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","התשובה כן 
AC שווה ל A'C'
וגם AB שווה A'B'
והזווית A'C'B' שווה ל (180 - 80 - 70) שווה ל 30 שהיא שווה לזווית CAB 
ולכן על פי (צלע, זווית, צלע) המשולשים חופפים אחד לשני 
",4,"4.06, 4.08"
,"האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","כן אפשר, גררתי את הצורות וקבלתי ריבוע.",1,1.08
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,"כן, תלוי היכן והאם הם נפגשים (בתוך המשולש, בקדקוד שלו, או בכלל לא)",3,"3.02, 3.10"
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,"כן אפשר לקבוע על פי 2 קטעים או 3 קטעים, אם נפגשים בקצה משולש ישר זווית אם לא נפגשים משולש קהה זווית אם נפגשים משולש חד זוויות",3,"3.02, 3.03, 3.06"
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.
","כן 
 יש לפחות ישר אחד. 2. דרך כל שתי נקודות שונות עובר ישר יחיד. 3. כל שני ישרים נחתכים לפחות בנקודה אחת. ",1,1.04
,האם כל מקבילית היא ריבוע? האם כל ריבוע הוא מקבילית? נמקו,"כל ריבוע הוא מקבילית כי מקיים כל התכונות של המקבילית
כל שתי צלעות נגדיות שוות 
כל שתי זוויות מקבילות הן שוות ובפרט שוות ל 90 דרגות 
אך לא כל מקבילית הוא מרובע כי לא בהכרח כל זוויות המקבילית שוות ל 90 וגם כל הצלעות שלו שוות",3,"3.02, 3.03, 3.07, 3.18"
,כתבו לפחות 3 תכונות שקיימות במעויין.,"המעויין הוא ריבוע - שבו כל הצלעות שוות 
גם כן האלכסוניםמאונכים
האלכסונים גם חוצים אחד השני לשני קטעים שווים ",2,"2.01, 2.06, 2.08"
,המעוין הוא דלתון מיוחד. האם טענה זו נכונה? נמקו את קביעתכם.,לא יודעת איך להסביר את זה,1,1.04
,"גאומטריה ספֵירִית היא סוג של גאומטריה לא אוקלידית, העוסקת בתכונות של ישרים על ספירה, כלומר מעטפת של כדור. בגאומטריה הספירית הקווים הישרים הם ""מעגלים גדולים"" - כאלה שרדיוסם שווה לרדיוס הכדור.
האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.",לא כי המשלולש בגיומטריה החדשה הוא 3 מעגלים,5,"5.02, 5.12"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,"כן, יש לנו שני זוגות של משולשים מנוגדים חופפים, נקבל זוויות זוויות חלופיות, נקבל שכל שני צלעות מנוגדים שווים ו מקבילים----> מרובע הוא מקבילית",4,"4.05, 4.06"
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.",כן כי כל קוביה היא גם פאון,3,"3.02, 3.18"
,"ביישומון שלפניך מוצגות שתי צורות.
אילו תכונות משותפות קיימות לשתי הצורות הנתונות (תכונות הנשמרות לאורך כל גרירה)?
","כל שני צלעות מקבילות (הצלע והצלע שמולה) 
כל שני צלעות מקבילות שוות ",2,"2.02, 2.11"
